original_id,new_id
52,1
53,2
55,3
58,4
75,5
78,6
79,7
80,8
83,9
84,10
87,11
92,12
94,13
95,14
98,15
99,16
105,17
107,18
112,19
113,20
120,21
127,22
140,23
142,24
166,25
172,26
174,27
175,28
176,29
177,30
179,31
180,32
181,33
183,34
186,35
190,36
191,37
192,38
193,39
196,40
201,41
218,42
219,43
226,44
227,45
230,46
232,47
238,48
239,49
251,50
253,51
259,52
260,53
265,54
268,55
269,56
271,57
272,58
273,59
276,60
278,61
279,62
283,63
284,64
287,65
289,66
292,67
300,68
301,69
302,70
307,71
313,72
317,73
323,74
325,75
326,76
327,77
339,78
340,79
343,80
345,81
349,82
351,83
353,84
363,85
366,86
372,87
379,88
384,89
418,90
427,91
431,92
438,93
440,94
445,95
446,96
449,97
452,98
454,99
457,100
463,101
465,102
467,103
468,104
471,105
472,106
473,107
474,108
484,109
488,110
494,111
509,112
521,113
524,114
552,115
553,116
555,117
563,118
565,119
602,120
608,121
616,122
620,123
621,124
622,125
626,126
630,127
632,128
634,129
651,130
655,131
657,132
658,133
662,134
666,135
670,136
671,137
672,138
675,139
676,140
679,141
680,142
682,143
683,144
685,145
699,146
705,147
710,148
713,149
715,150
726,151
729,152
733,153
736,154
739,155
740,156
741,157
742,158
746,159
749,160
752,161
756,162
757,163
758,164
760,165
762,166
764,167
768,168
769,169
773,170
776,171
778,172
784,173
788,174
791,175
1191,176
1193,177
1195,178
1199,179
1201,180
1204,181
1205,182
1206,183
1209,184
1211,185
1212,186
1213,187
1214,188
1215,189
1216,190
1217,191
1219,192
1221,193
1222,194
1226,195
1230,196
1231,197
1232,198
1233,199
1234,200
1235,201
1247,202
1249,203
1253,204
1257,205
1260,206
1261,207
1266,208
1268,209
1273,210
1277,211
1283,212
1286,213
1287,214
1289,215
1293,216
1295,217
1297,218
1298,219
1301,220
1302,221
1305,222
1307,223
1308,224
1312,225
1314,226
1317,227
1318,228
1321,229
1326,230
1329,231
1338,232
1343,233
1345,234
1346,235
1347,236
1349,237
1354,238
1359,239
1361,240
1365,241
1366,242
1369,243
1370,244
1373,245
1375,246
1378,247
1380,248
1382,249
1383,250
1385,251
1387,252
1389,253
1391,254
1392,255
1393,256
1398,257
1400,258
1401,259
1402,260
1403,261
1424,262
1444,263
1447,264
1468,265
1471,266
1472,267
1476,268
1479,269
1484,270
1486,271
1487,272
1493,273
1502,274
1507,275
1511,276
1513,277
1516,278
1523,279
1528,280
1546,281
1599,282
1603,283
1605,284
1609,285
1614,286
1616,287
1621,288
1622,289
1623,290
1624,291
1627,292
1628,293
1630,294
1631,295
1636,296
1637,297
1649,298
1653,299
1657,300
1661,301
1673,302
1707,303
1711,304
1713,305
1717,306
1733,307
1734,308
1738,309
1739,310
1743,311
1746,312
1748,313
1749,314
1753,315
1755,316
1758,317
1759,318
1764,319
1779,320
1794,321
1795,322
1804,323
1809,324
1812,325
1815,326
1816,327
1818,328
1821,329
1822,330
1829,331
1830,332
1835,333
1837,334
1839,335
1842,336
1843,337
1850,338
1855,339
1860,340
1864,341
1876,342
1877,343
1882,344
1884,345
1886,346
1887,347
1890,348
1894,349
1895,350
1903,351
1907,352
1908,353
1909,354
1913,355
1918,356
1919,357
1922,358
1923,359
1926,360
1927,361
1928,362
1932,363
1941,364
1944,365
1946,366
1948,367
1950,368
1954,369
1956,370
1957,371
1961,372
1966,373
1973,374
1982,375
1991,376
1993,377
1998,378
2004,379
2008,380
2009,381
2020,382
2038,383
2039,384
2040,385
2049,386
2050,387
2051,388
